Code,Last Price,Updated At
AALI,7425.0,2025-09-10 09:03:42
ABBA,43.0,2025-09-10 09:03:42
ABDA,3400.0,2025-09-10 09:03:42
ABMM,2910.0,2025-09-10 09:03:43
ACES,424.0,2025-09-10 09:03:43
ACST,135.0,2025-09-10 09:03:43
ADES,13300.0,2025-09-10 09:03:43
ADHI,278.0,2025-09-10 09:03:43
ADMF,8875.0,2025-09-10 09:03:43
ADMG,144.0,2025-09-10 09:03:43
ADRO,1685.0,2025-09-10 09:03:44
AGII,775.0,2025-09-10 09:03:44
AGRO,226.0,2025-09-10 09:03:44
AGRS,74.0,2025-09-10 09:03:44
AHAP,76.0,2025-09-10 09:03:44
AIMS,320.0,2025-09-10 09:03:44
AISA,119.0,2025-09-10 09:03:44
AKKU,27.0,2025-09-10 09:03:45
AKPI,570.0,2025-09-10 09:03:45
AKRA,1220.0,2025-09-10 09:03:45
AKSI,240.0,2025-09-10 09:03:45
ALDO,490.0,2025-09-10 09:03:45
ALKA,318.0,2025-09-10 09:03:45
ALMI,74.0,2025-09-10 09:03:45
ALTO,18.0,2025-09-10 09:03:46
AMAG,362.0,2025-09-10 09:03:46
AMFG,3290.0,2025-09-10 09:03:46
AMIN,274.0,2025-09-10 09:03:46
AMRT,2050.0,2025-09-10 09:03:46
ANJT,1795.0,2025-09-10 09:03:46
ANTM,3660.0,2025-09-10 09:03:47
APEX,119.0,2025-09-10 09:03:47
APIC,1125.0,2025-09-10 09:03:47
APII,179.0,2025-09-10 09:03:47
APLI,472.0,2025-09-10 09:03:47
APLN,102.0,2025-09-10 09:03:47
ARGO,1300.0,2025-09-10 09:03:48
ARII,252.0,2025-09-10 09:03:48
ARNA,560.0,2025-09-10 09:03:48
ARTA,3240.0,2025-09-10 09:03:48
ARTI,2.0,2025-09-10 09:03:48
ARTO,1970.0,2025-09-10 09:03:48
ASBI,438.0,2025-09-10 09:03:48
ASDM,530.0,2025-09-10 09:03:49
ASGR,1220.0,2025-09-10 09:03:49
ASII,5525.0,2025-09-10 09:03:49
ASJT,110.0,2025-09-10 09:03:49
ASMI,34.0,2025-09-10 09:03:49
ASRI,168.0,2025-09-10 09:03:49
ASRM,276.0,2025-09-10 09:03:49
ASSA,900.0,2025-09-10 09:03:50
ATIC,442.0,2025-09-10 09:03:50
AUTO,2430.0,2025-09-10 09:03:50
BABP,58.0,2025-09-10 09:03:50
BACA,134.0,2025-09-10 09:03:50
BAJA,120.0,2025-09-10 09:03:50
BALI,1340.0,2025-09-10 09:03:51
BAPA,86.0,2025-09-10 09:03:51
BATA,52.0,2025-09-10 09:03:51
BAYU,1280.0,2025-09-10 09:03:52
BBCA,7525.0,2025-09-10 09:03:52
BBHI,1470.0,2025-09-10 09:03:52
BBKP,74.0,2025-09-10 09:03:52
BBLD,930.0,2025-09-10 09:03:52
BBMD,2090.0,2025-09-10 09:03:52
BBNI,4080.0,2025-09-10 09:03:52
BBRI,3790.0,2025-09-10 09:03:53
BBRM,86.0,2025-09-10 09:03:53
BBTN,1220.0,2025-09-10 09:03:53
BBYB,318.0,2025-09-10 09:03:53
BCAP,69.0,2025-09-10 09:03:53
BCIC,170.0,2025-09-10 09:03:53
BCIP,95.0,2025-09-10 09:03:53
BDMN,2510.0,2025-09-10 09:03:54
BEKS,25.0,2025-09-10 09:03:54
BEST,114.0,2025-09-10 09:03:54
BFIN,750.0,2025-09-10 09:03:54
BGTG,105.0,2025-09-10 09:03:54
BHIT,34.0,2025-09-10 09:03:54
BIKA,55.0,2025-09-10 09:03:54
BIMA,69.0,2025-09-10 09:03:55
BINA,4450.0,2025-09-10 09:03:55
BIPI,78.0,2025-09-10 09:03:55
BIPP,47.0,2025-09-10 09:03:55
BIRD,1760.0,2025-09-10 09:03:55
BISI,875.0,2025-09-10 09:03:55
BJBR,765.0,2025-09-10 09:03:55
BJTM,505.0,2025-09-10 09:03:55
BKDP,38.0,2025-09-10 09:03:56
BKSL,130.0,2025-09-10 09:03:56
BKSW,67.0,2025-09-10 09:03:56
BLTA,40.0,2025-09-10 09:03:56
BLTZ,1800.0,2025-09-10 09:03:56
BMAS,675.0,2025-09-10 09:03:56
BMRI,4310.0,2025-09-10 09:03:56
BMSR,258.0,2025-09-10 09:03:56
BMTR,142.0,2025-09-10 09:03:57
BNBA,765.0,2025-09-10 09:03:57
BNBR,37.0,2025-09-10 09:03:57
BNGA,1690.0,2025-09-10 09:03:57
BNII,206.0,2025-09-10 09:03:57
BNLI,3070.0,2025-09-10 09:03:57
BOLT,1055.0,2025-09-10 09:03:57
BPFI,336.0,2025-09-10 09:03:58
BPII,580.0,2025-09-10 09:03:58
BRAM,5100.0,2025-09-10 09:03:58
BRMS,510.0,2025-09-10 09:03:58
BRNA,710.0,2025-09-10 09:03:58
BRPT,2150.0,2025-09-10 09:03:58
BSDE,1085.0,2025-09-10 09:03:58
BSIM,850.0,2025-09-10 09:03:59
BSSR,3910.0,2025-09-10 09:03:59
BSWD,1410.0,2025-09-10 09:03:59
BTEK,18.0,2025-09-10 09:03:59
BTEL,50.0,2025-09-10 09:03:59
BTON,380.0,2025-09-10 09:04:00
BTPN,2100.0,2025-09-10 09:04:00
BUDI,214.0,2025-09-10 09:04:00
BUKK,865.0,2025-09-10 09:04:00
BULL,152.0,2025-09-10 09:04:00
BUMI,110.0,2025-09-10 09:04:00
BUVA,348.0,2025-09-10 09:04:00
BVIC,105.0,2025-09-10 09:04:01
BWPT,144.0,2025-09-10 09:04:01
BYAN,17925.0,2025-09-10 09:04:01
